,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
254,Quintana Roo,2007-01-01,235828149.3,4450347.87,1771248.65,490398.25,1024258.37,256592.03,2679099.23,2379856.95,299242.27,114193.77,246767.11,1.9,26.3,3940.65,3290.26,3653.24,85.5
255,San Luis Potosí,2007-01-01,310160950.05,8199057.49,3976379.25,1718604.86,1566901.81,217544.09,4222678.24,3533229.44,571527.81,182404.15,312448.23,2.6,22.4,3880.43,2767.33,3247.03,94.5
256,Sinaloa,2007-01-01,345700345.23,10488144.02,3943641.23,1523692.38,1500762.85,662412.0,6544502.79,5522260.44,919379.7,151791.49,290559.88,3.0,23.0,4278.1,3221.97,3808.67,83.2
257,Sonora,2007-01-01,504062868.76,10758730.5,3701999.07,1072007.38,1841240.8,788750.9,7056731.42,6285527.99,655141.15,179173.21,763234.41,2.1,19.3,4363.45,3821.13,4160.27,78.7
258,Tabasco,2007-01-01,506959408.84,12514881.75,8474531.61,4254332.99,1516278.4,2703920.22,4040350.14,2096152.07,346803.62,44079.52,120207.57,2.5,21.9,5625.06,5819.67,5755.38,68.1
259,Tamaulipas,2007-01-01,569554846.46,13555893.17,4934205.54,1898296.28,2234254.63,537678.56,8621687.63,5782130.8,956515.45,720640.9,829400.05,2.4,14.4,4660.18,3697.52,4256.78,89.1
260,Tlaxcala,2007-01-01,88837870.14,3432660.81,1848634.14,769030.35,943253.58,136350.21,1584026.67,1381228.24,202798.43,80756.28,15307.15,3.9,24.7,4445.07,2388.27,3036.67,92.6
261,Veracruz de Ignacio de la Llave,2007-01-01,790676495.42,25672680.82,11725807.11,4971202.35,4555321.32,1192868.43,13946873.71,9826408.4,1109598.96,400616.24,327324.32,3.2,15.9,5372.75,2388.43,3420.62,89.8
262,Yucatán,2007-01-01,218834667.56,8029142.82,2900138.79,935637.19,1361987.84,246741.88,5129004.03,4427121.63,578253.22,37554.35,327327.59,3.7,21.8,5352.19,3084.16,4228.91,91.5
263,Zacatecas,2007-01-01,133299666.38,4655315.47,2513144.96,839777.0,1072012.83,196579.41,2142170.51,1774644.18,367526.33,35761.29,20171.72,3.5,20.9,4023.55,2709.59,3188.78,92.2
264,Estados Unidos Mexicanos,2008-01-01,17225852710.27,472742127.11,214316830.08,97248323.66,67599729.43,34462002.07,258425297.03,197736965.75,44627324.68,6379616.3,37398217.51,2.7,15.2,5139.98,3512.15,4247.5,83.9
265,Aguascalientes,2008-01-01,176173951.09,4960705.3,2085558.6,895169.5,937231.84,253157.25,2875146.7,2418281.91,348814.08,46404.69,261873.05,2.8,22.7,4178.33,4476.38,4298.67,87.9
266,Baja California,2008-01-01,551580811.57,14834431.49,6887161.94,2363184.89,1363198.74,3087448.58,7947269.55,7173257.98,701121.9,46156.49,776069.66,2.7,24.0,4123.71,5844.02,4776.5,55.2
267,Baja California Sur,2008-01-01,128571487.37,3757781.29,1383787.55,469056.54,648746.37,265984.64,2373993.74,1808829.49,565164.24,54676.24,75477.62,2.9,17.6,5972.55,6657.34,6207.69,80.8
